"ReportNo","ReportDate","IpNumber","AccidentDateTime","PlaceOfAccident","OperatingHours","DutyIO","DamageToBus","FactsOfIncident","BusNumber","ServiceNo","FinalLiability","StaffNo","FinalLiabilityDate","FinalFinding"
"E32482014","30/04/2014","201401864","25/04/2014 16:45","Blk 255 b/stop","7","23","SBS8550C, No damaged (YCKRG) Cam onboard  Attended S&S","I was driving bus svc 265 and I stopped at the said b/stop. I opened the doors and allowed pax to alight. As I was about to close the doors I heard someone shouting that someone had fallen down. At that point I immediately alighted from the bus tocheck the situation. Upon checking I found out that a female pax had fallen down after alighting from the bus. I asked whether she was alright and she affirmed so. I then informed OCC of the issue and the ack. I wish to state that the whole time the bus was stationary and I had made all necessary checks to make sure everyone was alright. I am making this report for record purpose. Thats all.  *NP299 F/20140430/2082- AMK North NPC*","SBS8550C","265","NAF","71210","29/05/2014","401"
"E32612014","02/05/2014","201401880","01/05/2014 07:00","TAMPINES ROAD BUS STOP B05","3","21","SBS8599M REAR DAMAGED (BSRG) CAM ON BOARD ATTENDED S&S ON SERVICE","I stopped at a bus stop  B05 along Tampines Road for pax activities. Suddenly one motorbike (FU4773U) hit the rear right portion of my bus and he fell down. I called ambulance to conveyed him to hospital. No other pax was injured. That s all. /* np168 : T/20140501/4043*/","SBS8599M","053","NAF","16463","04/05/2014","202"
"E77422014","16/12/2014","201405407","16/12/2014 06:45","Aft Lrg 28 Geylang b/stop","3","25","SBS6517M, Left v/mirror damaged (BDRG) Cam onboard  Attended S&S","During incident period I was follow bus svc 51 (SBS6131S) behind and intend to swerve my bus to the inner lane when my bus left v/mirror sideswipe wih the said bus due to his sudden stop resulted my bus left v/mirror damaged. The said bus sustaineddamaged on rear portion. No one was injured. CRS activated and bus escort back to depot. Thats all.","SBS6517M","040","FAF","45046","30/12/2014","102"
"E77422014","16/12/2014","201405407","16/12/2014 06:45","Aft Lrg 28 Geylang b/stop","3","25","SBS6517M, Left v/mirror damaged (BDRG) Cam onboard  Attended S&S","During incident period I was follow bus svc 51 (SBS6131S) behind and intend to swerve my bus to the inner lane when my bus left v/mirror sideswipe wih the said bus due to his sudden stop resulted my bus left v/mirror damaged. The said bus sustaineddamaged on rear portion. No one was injured. CRS activated and bus escort back to depot. Thats all.","SBS6131S","051","NAF","32597","30/12/2014","102"
"E03182015","16/01/2015","201500290","02/01/2015 20:00","UPPER CHANGI ROAD BUS STOP 96031","9","21","NO DMG","I stopped at the bus stop 96031 along upper changi road for boarding passengers. From my front left side view mirror there was no more passengers. As I was not able to view from the rear mirror I closed the front doors. When the doors closed hearda lady screamed that she was stuck. I then opened the doors. I offered her ambulance but she got angry and told me off. The female passenger did not alight from the bus stop on that moment and continued to an unknown location. That s all.","SBS8428Z","012","NAF","72291","23/02/2015","499"
"E02892015","15/01/2015","201500291","09/01/2015 13:00","CLEMENTI AVE 5","15","21","LEFT MIRROR DROPPED","As I overtake the SMRT bus (TIB1061A) in front at the bus stop along Clementi Ave 5 my bus hit the rear of the SMRT bus. The latter was stationary at the time. No injury. That s ll.","SBS3038Z","007","FAF","73292","18/02/2015","118"
"W03042015","15/01/2015","201500294","10/01/2015 01:18","defu ave 1 T HG depot","21","21","sbs6099C- front w/screen broken,v.m dropped, h/lamp dmgd,SKRG      sbs3119Z,svc62, rear panel dented","I was abt to turn at t/light junctn outside HG depot when SBS3119Z infront of me suddenly stopped thus my bus hit onto it causing damage to my front portion. Other SBS bus rear damaged. Both buses were OS. No pax no injuries.","SBS6099C","082","FAF","34632","17/02/2015","102"
"W02812015","14/01/2015","201500296","13/01/2015 16:25","turning left fr Punggol Rd to TPE","3","21","sbs3666K - OS front v/mirror damaged, HCRG, cctv","I was on the extreme left lane alg TPE twds Wdlands. Traffic flow was heavy. Ahead merger alane I slowly moved out. 02 lorries on my RHS had moved forward. As I was abt to move on suddenly a lorryXD5331G came from the right swerved into my path andhad its nearside center grazed against the OS front of my bus. OCC informed. Particulars exchanged. As traffic was heavy LTA officer guided me twds Upp Thomson Rd. no injury. that is all","SBS3666K","161","NAF","73179","17/02/2015","218"
"E02872015","15/01/2015","201500297","13/01/2015 16:45","jalan eunos","4","21","RIGHT MIRROR DROPPED","I left the bus stop along Jalan Eunos and moved to the right. When my bus was at lane 3 I saw a lorry moving very fast towards me. When I left the bus stop signal light was turned on and I also waved my hand. But the lorry still side swipe my bus.When I checked with the lorry driver he told me he did not notice my hand and light signal. No injury. That s all.","SBS8323S","060","FAF","75699","18/02/2015","118"
"E03012015","15/01/2015","201500300","13/01/2015 19:00","PAYA LEBAR ROAD AND SIMS AVE SLIP ROAD","9","21","NO DMG","I stopped at a pedestrian crossing along a slip road between Paya Lebar road and Sims Ave. After the traffic light turned green the vehicle in front moved forward and I followed. The slip road allowed one bus to pass through only and I did not knowanother bus (SBS6000L) was beside my bus. The latter did not honk either. When my bus was at the stopping line I heard a sound. Upon checking found that the other bus right mirror already bent. No injury. That s all.","SBS8757Z","135","NAF","72156","17/02/2015","118"
