"E73272013","02","SE","12/04/2013","201301486","02/04/2013 13:45","1","Near to Blk 556 b/stop","Pasir Ris St 51","2","1","3","1","17","42","2","3","5","86","65","0","0","0","N","Y","N","N","Y","NP299","21","R","SBS2811P, No damaged (PRRG) Cam onboard Attended S&S on","I was driving bus svc 359 and had stopped my bus at the said b/stop for pax activities. The bus was very crowded. I then opened the back door. Subsequently someone shouted to close the door. This was when I realised that he was trapped in between the opended doors. I quickly closed the door and reopened it. The pax an Indian boy wearing Pri Sch uniform then go off the bus. I did not take down his particulars. He seemed fine. I am lodging this report for record purpose. Thats all.  *NP299 E/20130411/2041- TPY NPC*","","2013/Apr/0242 He seemed fine.","AMOPPR10","12/04/2013 12:11","SFALIO02","15/04/2013 15:26","","Y"
"W38542014","02","SW","02/06/2014","201402469","01/06/2014 23:30","2","L 1 No 1 Bus Washing Machine","Soon Lee Bus Park","3","1","1","2","19","47","4","1","5","85","73","0","0","0","N","Y","N","N","N","","23","R","SBS6311P - Left rear top CCTV cam drop off  ( BLRG ) Cam Onboard","My bus was at the SLBP No 1 bus washing machine.  And my bus had already finished washing & I wanted to drive out from the bus washing bay at this moment suddenly I heard sound came from the left rear of my bus. And my bus was already 2 m out of said washing bay. I did not stop & straight heading to bus park level 3. Aft I had parked my bus I went to check my bus & saw on the left rear top CCTV camera drop hanging down. I then reported to OO Richard & he followed me to check my bus.  W/shop reported too.","","","JRADAA01","02/06/2014 13:44","SFALIO04","11/06/2014 12:21","","N"
"E50012014","02","SE","29/07/2014","201403320","29/07/2014 07:56","1","AMK AVE 6","AMK AVE 6","1","1","1","1","3","33","1","2","5","83","72","0","0","0","N","Y","Y","N","N","","14","R","SBS3353M FRONT WINDSCREEN DAMAGED (YCKRG) CAM ON BOARD ATTENDED S&S ON SERVICE","During 1st parade check I did not noticed any damaged on my bus front  windscreen. While travelling along AMK Ave 6 I suddenly saw my windscreen damaged. At that time traffic was heavy. No injury. That s all.","","","EDSFOF02","29/07/2014 11:18","SFALPR04","04/08/2014 12:16","","Y"
"E55232014","02","SE","21/08/2014","201403673","20/08/2014 20:07","2","Blk 32 b/stop","Lorong 6 Toa Payoh","2","1","1","1","10","42","2","3","5","86","65","0","0","0","N","Y","N","N","Y","NP299","14","R","SBS8068D, No damaged (TPRG) Cam onboard","When I stopped at the said b/stop for pax activities out of sudden An elderly shouted while she was standing at the front entrance. There were other pax told me that the said elderly hand was injured due to the front entrance door close on her handwhile she was holding onto the pole. The pole is not suppose to be hold by pax. I could not see her as it was very packed but another pax help me to check on her condition. An elderly said that she was alright as the message was conveyed by other pax. After that she then alighted at Braddell Rd. Thats all.   *NP299 F/20140821/2107- AMK North NPC*","","","AMOPPR10","21/08/2014 14:17","SFALPR04","23/08/2014 13:48","","Y"
"W55612014","02","SW","25/08/2014","201403795","19/07/2014 14:34","2","Bencoolen St bs07509","bencoolen st","2","1","1","1","2","42","3","1","5","86","82","0","0","0","N","Y","Y","N","Y","","26","R","sbs3719J - SGRG,","IRef: CFMS 2014/Jul/2379. While I was algihting pax alf bstop infront of SMU I was not informed or stop by any pax informing me that someone was injured. I also did not hear or see anyone fell or got hiy by the bus door. I also did not quarrel withanyone. I made this report to disclaim any liabilities that a F/pax had complaint on me stating that at the moment of her alighting she ahd hit onto the bus door aft she had alighted and me closing the bus door. That is all","","BC reported on 24/08/2014","WDSSOF01","25/08/2014 09:16","EDBDAM04","02/09/2014 14:29","","Y"
"W58392014","02","SW","08/09/2014","201403917","20/08/2014 09:05","1","c'wealth ave mrt bstop","c'wealth ave","2","1","1","1","7","42","2","1","5","86","82","0","0","0","N","Y","Y","N","N","","14","R","sbs2703T - HCRG, no cctv","Ref: CFMS2014/Aug/3161 I did not encounter closing door at boarding pax. No one informed me.","","bc reported on 04/09/2014","WDSSOF01","08/09/2014 08:27","SFALPR04","09/09/2014 10:32","","Y"
"W58562014","02","SW","08/09/2014","201403940","06/09/2014 23:25","2","Lower Delta Road (aft Jln Merah )","Lower Delta Road","1","1","1","1","22","33","3","3","5","70","54","0","0","0","N","Y","N","N","N","","26","R","SBS3797R - Right front panel scratched ( BMRG ) Cam Onboard","I was driving my bus at the 1st left lane Lower Delta Rd and aft crossing the traffic light junct. Jln Bt Merah infront was a merging lane and I was heading twds b/stop 3.2 KM. And aft the merging lane bef said b/stop I was still at my lane when suddenly I heard grazing sound came from the right front of my bus. I saw a black m/car SGT205M was beside my bus had its left rear portion grazed onto the right front portion of my bus. I stopped & alighted to check. WOCC informed exchange particular & cont my svc.","","","JRADAA01","08/09/2014 12:34","EDBDAM04","10/09/2014 08:16","","Y"
"W57852014","02","SW","04/09/2014","201403941","02/09/2014 17:14","2","bn lay int","boon lay int","3","1","1","1","4","37","1","2","5","70","54","0","0","0","N","Y","Y","N","N","","26","R","sbs8950G - front w/screen glass crack, body panel scratches(BLRG)  sbs7396M,svc181","Aft pax act at alighting berth B2 I signalled out. I check clear and proceed out when suddenly a SBS7396M approach fast on my RHS causing my RHS to graze its side. I stopped. Pax all alighted.  I inform ARM. I call OCC. CRS activated. CRS instructedme to drive back to SLBP and report to WS. that is all","","bc reported on 04/09/2014","WDSSOF01","04/09/2014 11:55","EDBDAM04","10/09/2014 14:42","","Y"
"W57952014","02","SW","04/09/2014","201403941","02/09/2014 17:14","2","Svc 242 saw-Tooth Boarding berth","Boon Lay Interchange","1","1","1","1","6","37","2","1","5","70","54","0","0","0","N","Y","N","N","N","","26","R","SBS7396M-L/R 2 piece window glass, engine cover, panel, corner bumper damaged ( BLRG ) Cam Onboard SBS8950G - R/F corner w/screen, body, v/m","I was driving my bus along BLI Driveway heading to svc 181 saw-tooth boarding berth & I noticed there was bus SBS8950G svc 242 had stopped at saw-tooth berth boarding paxs activities. On seeing this boarding activities still on I cont & then overtook said bus svc 242 twds my boarding berth & from my left front v/m & I saw said bus slowly filtered to the right as a result had its right front portion hit onto the left rear portion of my bus. I reported to ARM Naren photo taken. Aft mechanic hadchecked my bus I was told to RTD to SLBP.","","","JRADAA01","04/09/2014 14:24","EDBDAM04","10/09/2014 14:42","","Y"
"E58552014","02","SE","08/09/2014","201404011","06/09/2014 16:54","1","O/s Toa Payoh Swim Cplx","Lor 6 Toa Payoh","3","1","1","1","6","33","2","3","5","70","54","0","0","0","N","Y","Y","N","N","","26","R","SBS8886J, Right v/mirror cracked (BSRG) Cam onboard  Attended S&S on","After I have departed out from the said b/stop I start to move my bus into 2nd lane of the said rd and stopped my bus to comply with the red traffic light when my bus right v/mirror grazed by another bus (Svc 26 BC did not note down the reg plate no) resulted cracked on my right v/mirror. Svc 026 did not stop to exchange particulars. Svc 059 RTD after consulted CRS. Photo taken by AS. Thats all.","","","AMOPPR10","08/09/2014 12:20","EDBDAM04","12/09/2014 12:29","","Y"
