"acc_rep_num ","company_code","DIST_CODE","report_date","ip_number","accident_dt_time","shift_code","plce_of_acc","road_name1","acc_type","nature_of_acc","wthr_code","road_sur_code","op_hrs_code","type_loc_code","traf_vol_code","traf_flow_code","traf_cntrl_code","col_with_code","type_of_col_code","srs_inj","minor_inj","fatal","bus_towed","sketch","photo_taken","mech_fault","pol_report","pol_rep_num","dutyio_code","release_status","damage_to_bus","Facts_txt","brief_part","rsn_for_late_rep","create_by","create_dt","modify_by","modify_dt","mig_flag","off_on_svc"
"W18452014","02","SW","17/02/2014","201400855","13/02/2014 18:30","2","junction infront of Shaw Towers","Beach Road","1","1","1","1","9","27","3","3","1","70","54","0","0","0","N","Y","Y","N","N","","23","R","sbs8769P - front RHS panel scratches (SGRG) cctv","On a/m date and time I was travelling alg Beach Rd aft Shaw Towers bs9km. At the front junction a car SGJ6413S suddenly changed lane from my RHS and sideswiped my bus hitting the front RHS panel. Said driver apologised and exchanged particulars. No injuries. That is all","","BC reported on 16/02/2014","WDSSOF01","17/02/2014 10:15","SFALIO04","22/02/2014 09:54","","Y"
"E28482014","02","SE","08/04/2014","201401589","27/03/2014 11:18","3","Junc of Seng Poh Rd","Tiong Bahru Rd","2","1","1","1","8","33","2","3","5","86","61","0","0","0","N","Y","N","N","Y","NP299","23","R","SBS5130B, No damaged (EURG) Cam onboard","I was driving bus svc 63 along the said rd. When I was passing through the said junc there was one comfort taxi (SHC3262E) from my left side did not stop at the stop line and went straight on. I tried to avoid the collision and I jammed brake and Iasked the pax if they are alright and no one complaint. When I reached the next b/stop I asked the pax again and they said they are alright. After that I continue my svc. There were pax onboard willing to be witness for the said incident that I amnot in the wrong. On 4/4/2014 my RM informed me someone had lodged a complaint against me saying that her right hand index finger joints is injured due to my e-brake when she was holding onto the bus pole. I am lodging this report for record purpose.  *F/20140407/2138- AMK North NPC*","","CFMS 2014/ Mar/ 3562 I asked the pax again and they said they are alright.","AMOPPR10","08/04/2014 16:07","SFALIO04","10/04/2014 15:06","","Y"
"W65452014","02","SW","14/10/2014","201404467","28/03/2014 12:30","1","along C'Wealth Ave West","C'Wealth Ave West","2","1","4","6","12","33","2","2","5","86","78","0","0","0","N","Y","N","N","N","","21","R","SBS6697B - NA ( BLRG ) Cam Onboard","My Master Chong informed me regarding the   I wish to say that on 28/03/14 @ 1230 hrs along CWealth Ave West dir to I wish to say that I could not recall there was such incident occurred onboard my bus as it was happened 6 mths ago. The fallen paxscomplainant did not alert me that subject had fall. I also did not heard anyone onboard shouting abt it. I am totally unawared the complainant had fall onboard during my tour of svc. Thats all I can say.","","Rec'd from Peter Wong 04072014","JRADAA01","14/10/2014 16:18","SFALIO02","15/10/2014 08:13","","Y"
"W78352014","02","SW","19/12/2014","201405486","16/12/2014 17:50","2","JEI","jurong east interchange","3","1","1","1","21","37","3","1","5","85","58","0","0","0","N","Y","Y","N","N","","14","R","sbs7383A - nearside v/mirror dislodged, HCRG, cctv","I was going to park my bus when suddenly i heard cracked sound from the left. I checked and found that the whole mirror arm had dropped by itself. I wish to state I was not involved in any accident during course duty. No injury. that is all","","bc reported to RG on 18/12","WDSSOF01","19/12/2014 17:12","WDSSOF01","24/12/2014 12:08","","Y"
"W79402014","02","SW","26/12/2014","201405585","20/12/2014 01:10","2","HGBP pump island 3","hougang bus park","3","1","1","1","22","39","3","1","5","70","54","0","0","0","N","Y","Y","N","N","","14","R","sbs6616K - nearside rear door, side window glass scratches, HCRG, cctv sbs6088J,svc27,OS front v/mirror damaged, HCRG","I was queueing at pump island 3 waiting for refueling. SBS6088J queueing beside my bus. While moving forward accidentally the OS v/mirror grazed against the NS rear door and side window glass of my bus causing damage. No injury. That is all","","bc reported to Rg on 22/12","WDSSOF01","26/12/2014 11:42","SFALPR04","30/12/2014 13:35","","Y"
"W79482014","02","SW","26/12/2014","201405585","20/12/2014 01:10","2","HGBP pump island 3","hougang bus park","3","1","1","1","21","39","3","1","5","70","54","0","0","0","N","Y","Y","N","N","","14","R","sbs6088J- OS v/mirror damaged, HCRG, cctv sbs6616K,svc112,NS rear door, side window glass scratches,w/7940/2014","I was queueing at the pump island waiting for refuelling. SBS6616K was beside my bus and when it was moving forward accidentally grazed my bus. Damage to both buses. That is all","","bc reported to Rg on 22/12/2014. District rcvd report on 24/12","WDSSOF01","26/12/2014 14:15","SFALPR04","30/12/2014 13:35","","Y"
"E80332014","02","SE","30/12/2014","201500018","19/12/2014 21:55","2","JALAN EUNOS BUS STOP","JALAN EUNOS","2","1","1","1","14","42","4","2","5","86","82","0","0","0","N","Y","N","N","Y","NP299","14","R","SBS8778M NO DMG (EURG) CAM ON BOARD ATTENDED S&S ON SERVICE","On 26/12/2014 I was informed of a complaint against me. The complaint was about an incident on 19/12/2014. On that day a female passenger was alighting from my bus at a bus stop along Jalan Eunos. She was hit by the closing bus door on her left elbow and left side of the head. She claimed that I had not approached her during the incident. I did not recall such an incident happening. I was not approached by any passenger that they had been hit by the bus door on that day. That s all. /*E/20141229/2091*/ /*2014/DEC/3177*/","","I was informed on 26/12/2014","EDSFOF02","30/12/2014 16:59","EDSFOF02","30/12/2014 16:59","","Y"
"E79812014","02","SE","29/12/2014","201500034","28/12/2014 14:40","1","Aft Chen Li Presby Ch","Guillemard Rd","1","1","1","1","2","33","2","3","5","91","73","0","0","0","N","Y","Y","N","Y","NP168","23","R","SBS8867P, Front portion damaged (YCKR) Cam onboard  Attended S&S","On 28/12/2014 at abt 1440hrs I met with an accident whilst driving SBS8867P along Guillemard Rd towards Shenton Way. I was driving at below 50km/h in the left most lane when my left tires made contact with the kerb. As such I lost control of bus I was driving. The bus hit the sraight onto some concrete barriers that were along the left side of the road. As a result the front of my bus was badly damaged. There were about 20 pax at the time and 2 of them were injured. TP attended to the case. No pax conveyed by ambulance. Thats all.  *NP168 T/20141228/2080- AMK North NPC*","","","AMOPPR10","29/12/2014 12:01","AMOPPR10","29/12/2014 12:12","","Y"
"W00472015","02","SW","05/01/2015","201500055","03/01/2015 00:50","2","Clementi Avenue 6 slip road towards Comm","Clementi Ave 6 slip Rd towards","1","2","1","1","19","22","4","2","5","70","60","1","0","0","N","Y","Y","N","Y","T/2015","21","R","Rear engine right portion damaged, air condenser fin panel damaged","On 03/01/2015 at about 00:50 hrs as I was travelling along Clementi Ave 6 toward AYE on the left lane I felt an impact and loud bang from the right rear portion. As such I immediately stop the bus along the side of the road. I went to down checkedand saw a lorry collided into my bus rear engine right portion damaged rear aircon condenser fin panel damaged. The lorry bearing number plate YK6399G sustained front windsreen damaged and dropped front left portion damaged left door body panel ddamaged. The lorry driver sustained neck injuries and he was unable to talk so I was not able to take down his particulars. I report to WOCC. Ambulance QX987A arrived at about 0101:30hrs. Paramedic - SET Fadhy A44Z and conveyed the lorry driver to NUH. Subsequently CRS follow by IO arrived. CRS then escort","","","wdblrs04","05/01/2015 18:02","wdblrs04","05/01/2015 18:09","","N"
"E00992015","02","SE","07/01/2015","201500114","03/01/2015 12:00","1","CHANGI ROAD TOWARDS BEDOK STADIUM","CHANGI ROAD","2","1","1","1","13","33","2","2","5","70","74","0","1","0","N","Y","N","N","Y","G/2015","23","R","NO DMG","I was driving along Changi Road towards Bedok Stadium when a vehicle in front suddenly applied brake. To avoid collision I jammed brake and a male passenger standing had his face hit the pole and stomach hit the seat. He did not fall down. No otherpassenger was injured. I brought him to Bedok Int. and my staff took a report and his particulars. That s all.","","Due to weekend","edsfof02","07/01/2015 09:27","","07/01/2015 09:27","","N"
