"IP_NUMBER","COMPANY_CODE","DIST_CODE","accident_date","ip_type","init_liab","init_cause","init_find_date","inv_status","final_find_date","final_cause","offence_type","pol_rep_fee","shift_code","plce_of_acc","road_name1","acc_type","nature_of_acc","wthr_code","road_sur_code","op_hrs_code","type_loc_code","traf_vol_code","traf_flow_code","traf_cntrl_code","col_with_code","type_of_col_code","srs_inj","minor_inj","fatal","bus_towed","sketch","photo_taken","mech_fault","pol_report","pol_rpt","photo","vir","form15a","pol_rep_num","dutyio_code","damage_to_bus","Facts_txt","brief_part","rsn_for_late_rep","nat_of_acc_chng_dt","src_rep_num","create_by","create_dt","modify_by","modify_dt","mig_flag"
"201400855","02","SW","13/02/2014 18:30","C","NAF","205","22/02/2014","2","04/06/2014","205","1","","2","junction infront of Shaw Towers","Beach Road","1","2","1","1","9","27","3","3","1","70","54","0","1","0","N","Y","Y","N","N","N","N","N","","","23","sbs8769P - front RHS panel scratches (SGRG) cctv","On a/m date and time I was travelling alg Beach Rd aft Shaw Towers bs9km. At the front junction a car SGJ6413S suddenly changed lane from my RHS and sideswiped my bus hitting the front RHS panel. Said driver apologised and exchanged particulars. No injuries. That is all","(M)(N) : 3P car side swiped bus","BC reported on 16/02/2014","11/02/2015","W18452014","SFALIO04","22/02/2014 09:54","sfalad02","11/02/2015 12:01",""
"201401589","02","SE","27/03/2014 11:18","C","NAF","221","10/04/2014","2","16/05/2014","221","1","","3","Junc of Seng Poh Rd","Tiong Bahru Rd","2","2","1","1","8","33","2","3","5","86","74","0","2","0","N","Y","N","N","Y","N","N","N","","NP299","23","SBS5130B, No damaged (EURG) Cam onboard","I was driving bus svc 63 along the said rd. When I was passing through the said junc there was one comfort taxi (SHC3262E) from my left side did not stop at the stop line and went straight on. I tried to avoid the collision and I jammed brake and Iasked the pax if they are alright and no one complaint. When I reached the next b/stop I asked the pax again and they said they are alright. After that I continue my svc. There were pax onboard willing to be witness for the said incident that I amnot in the wrong. On 4/4/2014 my RM informed me someone had lodged a complaint against me saying that her right hand index finger joints is injured due to my e-brake when she was holding onto the bus pole. I am lodging this report for record purpose.  *F/20140407/2138- AMK North NPC*","(M)(N) : BC applied brake to avoid collision. CFMS case","CFMS 2014/ Mar/ 3562 I asked the pax again and they said they are alright.","","E28482014","SFALIO04","10/04/2014 15:06","sfalad02","11/02/2015 13:56",""
"201404467","02","SW","28/03/2014 12:30","C","NAF","499","15/10/2014","2","16/10/2014","499","1","","1","along C'Wealth Ave West","C'Wealth Ave West","2","2","4","6","12","33","2","2","5","86","74","0","1","0","N","Y","N","N","N","N","N","N","","","21","SBS6697B - NA ( BLRG ) Cam Onboard","My Master Chong informed me regarding the   I wish to say that on 28/03/14 @ 1230 hrs along CWealth Ave West dir to I wish to say that I could not recall there was such incident occurred onboard my bus as it was happened 6 mths ago. The fallen paxscomplainant did not alert me that subject had fall. I also did not heard anyone onboard shouting abt it. I am totally unawared the complainant had fall onboard during my tour of svc. Thats all I can say.","(M)(N): Pax alleged injured on board.","Rec'd from Peter Wong 04072014","11/02/2015","W65452014","SFALIO02","15/10/2014 08:13","sfalad02","11/02/2015 13:59",""
"201405486","02","SW","16/12/2014 01:20","I","NAF","699","22/12/2014","2","28/01/2015","118","1","","2","JEI","jurong east interchange","3","1","1","1","21","37","3","1","5","85","54","0","0","0","N","Y","Y","N","N","N","N","N","","","25","sbs7383A - nearside v/mirror dislodged, HCRG, cctv","I was going to park my bus when suddenly i heard cracked sound from the left. I checked and found that the whole mirror arm had dropped by itself. I wish to state I was not involved in any accident during course duty. No injury. that is all","(M) (N) :  Mirror dropped by itself","bc reported to RG on 18/12","","W78352014","SFALIO05","22/12/2014 12:11","sfalad02","16/02/2015 13:38",""
"201405585","02","SW","20/12/2014 01:10","M","FAF","118","30/12/2014","2","10/02/2015","118","1","","2","HGBP pump island 3","hougang bus park","3","1","1","1","22","39","3","1","5","70","54","0","0","0","N","Y","Y","N","N","N","N","N","","","14","sbs6616K - nearside rear door, side window glass scratches, HCRG, cctv sbs6088J,svc27,OS front v/mirror damaged, HCRG","I was queueing at pump island 3 waiting for refueling. SBS6088J queueing beside my bus. While moving forward accidentally the OS v/mirror grazed against the NS rear door and side window glass of my bus causing damage. No injury. That is all","(N)(Y) SBS6616K collided onto SBS6088J","bc reported to Rg on 22/12","","W79402014","SFALPR04","30/12/2014 13:35","sfalpr04","10/02/2015 12:24",""
"201500018","02","SE","19/12/2014 21:55","I","NAF","222","03/01/2015","1","13/02/2015","122","1","","2","JALAN EUNOS BUS STOP","JALAN EUNOS","2","1","1","1","14","42","4","2","5","86","82","0","0","0","N","Y","N","N","Y","N","N","N","","NP299","14","SBS8778M NO DMG (EURG)  CAM ON BOARD  ATTENDED S&S  ON SERVICE","On 26/12/2014 I was informed of a complaint against me. The complaint was about an incident on 19/12/2014. On that day a female passenger was alighting from my bus at a bus stop along Jalan Eunos. She was hit by the closing bus door on her left elbow and left side of the head. She claimed that I had not approached her during the incident. I did not recall such an incident happening. I was not approached by any passenger that they had been hit by the bus door on that day. That s all.  /*E/2014229/2091*/  /*2014/DEC/3177*/","(N)(N) Pax alleged hit by door","I was informed on 26/12/2014","","E80332014","sfalpr04","03/01/2015 09:39","sfalad02","13/02/2015 10:44",""
"201500034","02","SE","28/12/2014 14:40","Q","FAF","118","06/01/2015","2","20/01/2015","118","1","","1","Aft Chen Li Presby Ch","Guillemard Rd","1","2","1","1","2","33","2","3","5","87","73","0","2","0","N","Y","Y","N","Y","N","N","N","","NP168","23","SBS8867P, Front portion damaged (YCKR)  Cam onboard   Attended S&S","On 28/12/2014 at abt 1440hrs I met with an accident whilst driving SBS8867P along Guillemard Rd towards Shenton Way. I was driving at below 50km/h in the left most lane when my left tires made contact with the kerb. As such I lost control of bus I was driving. The bus hit the sraight onto some concrete barriers that were along the left side of the road. As a result the front of my bus was badly damaged. There were about 20 pax at the time and 2 of them were injured. TP attended to the case. No pax conveyed by ambulance. Thats all.    *NP168 T/20141228/2080- AMK North NPC*","(M)(Y) : Bus grazed against safety barrier.","","","E79812014","sfalio04","06/01/2015 10:35","sfalex11","11/02/2015 17:04",""
"201500055","02","SW","03/01/2015 00:50","Q","NAF","202","06/01/2015","1","09/01/2015","202","1","","2","Clementi Avenue 6 slip road towards Comm","Clementi Ave 6 slip Rd towards","1","2","1","1","19","22","4","2","5","70","60","0","1","0","N","Y","Y","N","Y","N","N","N","","T/2015","21","Rear engine right portion damaged, air condenser fin panel damaged","On 03/01/2015 at about 00:50 hrs as I was travelling along Clementi Ave 6 toward AYE on the left lane I felt an impact and loud bang from the right rear portion. As such I immediately stop the bus along the side of the road. I went to down checkedand saw a lorry collided into my bus rear engine right portion damaged rear aircon condenser fin panel damaged. The lorry bearing number plate YK6399G sustained front windsreen damaged and dropped front left portion damaged left door body panel ddamaged. The lorry driver sustained neck injuries and he was unable to talk so I was not able to take down his particulars. I report to WOCC. Ambulance QX987A arrived at about 0101:30hrs. Paramedic - SET Fadhy A44Z and conveyed the lorry driver to NUH. Subsequently CRS follow by IO arrived. CRS then escort","(M)(N): 3P lorry hit rear of bus.","","","W00472015","sfalio02","06/01/2015 13:20","sfalad02","11/02/2015 16:03",""
"201500114","02","SE","03/01/2015 12:00","C","NAF","121","08/01/2015","2","","","","","1","CHANGI ROAD TOWARDS BEDOK STADIUM","CHANGI ROAD","2","2","1","1","13","33","2","2","5","70","74","0","1","0","N","Y","N","N","Y","N","N","N","","G/2015","23","NO DMG","I was driving along Changi Road towards Bedok Stadium when a vehicle in front suddenly applied brake. To avoid collision I jammed brake and a male passenger standing had his face hit the pole and stomach hit the seat. He did not fall down. No otherpassenger was injured. I brought him to Bedok Int. and my staff took a report and his particulars. That s all.","(M)(N) : BC applied brake to avoid accident.","Due to weekend","11/02/2015","E00992015","sfalio04","08/01/2015 09:33","sfalad02","11/02/2015 16:04",""
"201500143","02","SW","29/12/2014 15:15","I","FAF","118","08/01/2015","3","26/01/2015","118","1","","1","ang mo kio ave 3 bef slip rd YCK Rd","ang mo kio ave 3","1","1","1","1","18","33","3","1","1","70","52","0","0","0","N","Y","Y","N","N","N","N","N","","","26","sbs8145P - NS front v/mirror damaged, HCRG and sbs3694D,svc74,HCRG, OS rear corner panel scratches","I was following behind sbs3694D. I was the front said bus applied right signal. I also applied right signal.Suddenly the front bus slowed down. As my bus was following too close my nearside front v/mirror grazed agaisnt the OS rear corner panelof front bus causing damage. no injury. that is all","(M)(Y) Failed to maintain a safe following distance and collided onto the rear portion of front bus","bc reported to Rg on 30/12. district rcvd on 31/12","","W00532015","edbdam04","08/01/2015 13:54","sfalad02","16/02/2015 13:41",""
